,Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude,Unnamed: 7
27657,61371.0,Triumph,Illinois,IL,La Salle,41.4991,-89.0219,-1.0
27658,61372.0,Troy Grove,Illinois,IL,La Salle,41.4518,-89.0705,-1.0
27659,61373.0,Utica,Illinois,IL,La Salle,41.363,-89.0008,-1.0
27660,61374.0,Van Orin,Illinois,IL,Bureau,41.3669,-89.5131,-1.0
27661,61375.0,Varna,Illinois,IL,Marshall,41.0327,-89.2483,-1.0
27662,61376.0,Walnut,Illinois,IL,Bureau,41.5394,-89.6092,-1.0
27663,61377.0,Wenona,Illinois,IL,Marshall,41.0548,-89.0416,-1.0
27664,61378.0,West Brooklyn,Illinois,IL,Lee,41.7292,-89.1909,-1.0
27665,61379.0,Wyanet,Illinois,IL,Bureau,41.3785,-89.5744,-1.0
27668,61410.0,Abingdon,Illinois,IL,Knox,40.8023,-90.4009,-1.0
27669,61411.0,Adair,Illinois,IL,McDonough,40.3852,-90.5037,-1.0
27670,61412.0,Alexis,Illinois,IL,Mercer,41.0521,-90.5436,-1.0
27671,61413.0,Alpha,Illinois,IL,Henry,41.193,-90.3821,-1.0
27672,61414.0,Altona,Illinois,IL,Knox,41.1128,-90.1598,-1.0
27674,61416.0,Bardolph,Illinois,IL,McDonough,40.4979,-90.5088,-1.0
27675,61417.0,Berwick,Illinois,IL,Warren,40.7799,-90.5059,-1.0
27676,61418.0,Biggsville,Illinois,IL,Henderson,40.8531,-90.8561,-1.0
27677,61419.0,Bishop Hill,Illinois,IL,Henry,41.1977,-90.1183,-1.0
27678,61420.0,Blandinsville,Illinois,IL,McDonough,40.5516,-90.8595,-1.0
27679,61421.0,Bradford,Illinois,IL,Stark,41.1532,-89.6521,-1.0
27681,61423.0,Cameron,Illinois,IL,Warren,40.889,-90.5001,-1.0
27682,61424.0,Camp Grove,Illinois,IL,Marshall,41.078,-89.6332,-1.0
27683,61425.0,Carman,Illinois,IL,Henderson,40.7551,-91.0564,-1.0
27684,61426.0,Castleton,Illinois,IL,Stark,41.1183,-89.7072,-1.0
27685,61427.0,Cuba,Illinois,IL,Fulton,40.4995,-90.1811,-1.0
27686,61428.0,Dahinda,Illinois,IL,Knox,40.9551,-90.1398,-1.0
27687,61430.0,East Galesburg,Illinois,IL,Knox,40.9402,-90.3109,-1.0
